,tweet_id,retweet_count,favorite_count
708,782598640137187329,1869,7752
709,782305867769217024,5513,16564
710,782021823840026624,6149,0
711,781955203444699136,3345,11079
712,781661882474196992,2700,10381
713,781655249211752448,1124,3973
714,781524693396357120,5524,20660
715,781308096455073793,2537,7114
716,781251288990355457,2065,8388
717,781163403222056960,2733,9755
718,780931614150983680,7239,21513
719,780858289093574656,1995,7143
720,780800785462489090,1293,5451
721,780601303617732608,3343,12038
722,780543529827336192,1737,6270
723,780496263422808064,3653,0
724,780476555013349377,112,0
725,780459368902959104,1070,5266
726,780192070812196864,2224,8660
727,780092040432480260,2282,0
728,780074436359819264,4913,12098
729,779834332596887552,6979,18764
730,779377524342161408,3088,8737
731,779124354206535695,18101,0
732,779056095788752897,4491,14649
733,778990705243029504,7130,19819
734,778774459159379968,9785,0
735,778764940568104960,360,861
736,778748913645780993,1295,6846
737,778650543019483137,1483,5727
738,778624900596654080,1003,4605
739,778408200802557953,4279,13534
740,778396591732486144,12092,0
741,778383385161035776,1092,5784
742,778286810187399168,3254,10302
743,778039087836069888,2614,8439
744,778027034220126208,1591,6506
745,777953400541634568,3494,0
746,777885040357281792,1615,6303
747,777684233540206592,2915,11146
748,777641927919427584,4189,0
749,777621514455814149,2479,8670
750,777189768882946048,4266,14153
751,776819012571455488,13532,0
752,776813020089548800,1197,4839
753,776477788987613185,2744,8761
754,776249906839351296,9007,0
755,776218204058357768,15666,29638
756,776201521193218049,2496,9531
757,776113305656188928,4319,11669
758,776088319444877312,151,1822
759,775898661951791106,16551,0
760,775842724423557120,2627,11616
761,775733305207554048,3951,13765
762,775729183532220416,4549,12891
763,775364825476165632,2928,7334
764,775350846108426240,3868,10084
